vehicle_id,model,city,state,latitude,longitude,fleet_zone,status,software_version,sensor_config,total_mileage_km,total_rides,avg_passenger_rating,safety_score,open_support_tickets,last_incident_type,days_since_last_incident,last_service_date,next_service_date,in_service_since
WM-001,Jaguar I-PACE Gen4,San Francisco,CA,37.7754,-122.4667,SAN-1,ACTIVE,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,37256,871,4.65,89.1,1,GNSS_DROPOUT,75,2026-04-20,2026-06-23,2025-05-27
WM-002,Jaguar I-PACE Gen2,Seattle,WA,47.5664,-122.3441,SEATTLE-2,ACTIVE,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,8851,3408,4.73,99.0,2,SOFTWARE_BUG,43,2026-05-09,2026-07-08,2024-12-14
WM-003,Jaguar I-PACE Gen3,Los Angeles,CA,34.0068,-118.2709,LOS-3,MAINTENANCE,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,78284,811,4.92,94.6,0,SOFTWARE_BUG,10,2026-04-04,2026-07-26,2025-02-23
WM-004,Jaguar I-PACE Gen2,San Francisco,CA,37.8186,-122.4046,SAN-2,GROUNDED,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,44434,2157,4.53,95.7,6,COMFORT_COMPLAINT,20,2026-04-27,2026-08-03,2024-04-02
WM-005,Jaguar I-PACE Gen4,Phoenix,AZ,33.4385,-112.1174,PHOENIX-2,MAINTENANCE,weimo-av-4.3.0,LiDAR-5 + Camera-29 + Radar-6,68589,1854,4.11,97.5,2,PERCEPTION_MISS,87,2026-05-03,2026-06-26,2024-05-15
WM-006,Jaguar I-PACE Gen4,Los Angeles,CA,34.092,-118.2538,LOS-3,ACTIVE,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,92259,2179,3.96,96.6,3,LIDAR_DESYNC,31,2026-03-10,2026-08-29,2025-05-06
WM-007,Jaguar I-PACE Gen3,Phoenix,AZ,33.4513,-112.0269,PHOENIX-4,MAINTENANCE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,22371,926,4.52,94.9,3,SOFTWARE_BUG,76,2026-06-05,2026-08-07,2025-12-05
WM-008,Jaguar I-PACE Gen4,San Francisco,CA,37.812,-122.4396,SAN-2,INSPECTION,weimo-av-4.3.1,LiDAR-6 + Camera-32 + Radar-8,22621,1502,4.3,93.8,0,NONE,,2026-06-13,2026-07-22,2024-03-02
WM-009,Jaguar I-PACE Gen2,Seattle,WA,47.6441,-122.2989,SEATTLE-1,MAINTENANCE,weimo-av-4.3.1,LiDAR-5 + Camera-29 + Radar-6,29174,2509,4.9,89.3,2,AEB_FALSE_TRIGGER,76,2026-05-03,2026-08-20,2025-02-05
WM-010,Jaguar I-PACE Gen2,Phoenix,AZ,33.4149,-112.0712,PHOENIX-2,ACTIVE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,19226,3297,4.36,95.6,4,GNSS_DROPOUT,68,2026-03-07,2026-07-05,2024-04-04
WM-011,Jaguar I-PACE Gen4,Austin,TX,30.2236,-97.791,AUSTIN-4,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,48857,1934,4.94,89.4,1,COMFORT_COMPLAINT,56,2026-02-18,2026-08-24,2024-05-28
WM-012,Jaguar I-PACE Gen2,Phoenix,AZ,33.4198,-112.1108,PHOENIX-2,MAINTENANCE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,90719,541,4.06,91.2,3,AEB_FALSE_TRIGGER,42,2026-06-04,2026-08-23,2024-05-11
WM-013,Jaguar I-PACE Gen2,Seattle,WA,47.6235,-122.2837,SEATTLE-4,ACTIVE,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,32957,686,3.91,97.9,0,SOFTWARE_BUG,45,2026-04-20,2026-08-10,2025-09-07
WM-014,Jaguar I-PACE Gen4,San Francisco,CA,37.8123,-122.4619,SAN-2,ACTIVE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,40591,1084,4.02,91.2,1,NONE,,2026-05-27,2026-08-12,2024-06-01
WM-015,Jaguar I-PACE Gen4,San Francisco,CA,37.8151,-122.4529,SAN-4,ACTIVE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,20224,4094,4.67,90.5,3,PERCEPTION_MISS,21,2026-04-22,2026-08-20,2025-12-14
WM-016,Jaguar I-PACE Gen3,Austin,TX,30.2233,-97.7617,AUSTIN-1,ACTIVE,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,80845,3011,4.63,94.7,4,LIDAR_DESYNC,24,2026-05-07,2026-07-16,2025-10-26
WM-017,Jaguar I-PACE Gen4,Seattle,WA,47.5808,-122.3226,SEATTLE-2,ACTIVE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,15455,2380,3.89,92.6,4,LIDAR_DESYNC,8,2026-03-29,2026-06-27,2024-03-22
WM-018,Jaguar I-PACE Gen4,San Francisco,CA,37.7706,-122.3765,SAN-2,ACTIVE,weimo-av-4.3.1,LiDAR-4 + Camera-24 + Radar-4,42179,1136,4.57,95.7,2,COMFORT_COMPLAINT,30,2026-05-11,2026-08-08,2025-10-03
WM-019,Jaguar I-PACE Gen4,San Francisco,CA,37.7534,-122.4256,SAN-1,ACTIVE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,17602,2502,4.05,98.1,2,ROUTE_DEVIATION,16,2026-02-14,2026-08-02,2024-06-08
WM-020,Jaguar I-PACE Gen4,Los Angeles,CA,34.0294,-118.2332,LOS-1,MAINTENANCE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,80692,1526,4.87,96.5,1,GNSS_DROPOUT,17,2026-05-11,2026-07-03,2024-12-30
WM-021,Jaguar I-PACE Gen4,Phoenix,AZ,33.4755,-112.0603,PHOENIX-3,INSPECTION,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,40914,4008,4.84,88.5,2,AEB_FALSE_TRIGGER,11,2026-03-24,2026-08-12,2025-03-23
WM-022,Jaguar I-PACE Gen3,Phoenix,AZ,33.4292,-112.0341,PHOENIX-2,INSPECTION,weimo-av-4.4.0-beta,LiDAR-4 + Camera-24 + Radar-4,81519,339,3.93,92.9,0,LIDAR_DESYNC,69,2026-06-09,2026-08-05,2025-11-06
WM-023,Jaguar I-PACE Gen4,Los Angeles,CA,34.0903,-118.2912,LOS-2,ACTIVE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,54357,3495,4.44,97.9,1,SOFTWARE_BUG,79,2026-03-10,2026-07-08,2025-01-10
WM-024,Jaguar I-PACE Gen4,Austin,TX,30.2522,-97.711,AUSTIN-4,GROUNDED,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,42970,952,4.71,90.6,4,GNSS_DROPOUT,48,2026-02-22,2026-06-23,2025-04-27
WM-025,Jaguar I-PACE Gen4,Phoenix,AZ,33.4315,-112.1212,PHOENIX-4,ACTIVE,weimo-av-4.4.0-beta,LiDAR-5 + Camera-29 + Radar-6,51025,1441,4.79,95.8,4,ROUTE_DEVIATION,44,2026-03-23,2026-08-23,2025-03-24
WM-026,Jaguar I-PACE Gen3,Phoenix,AZ,33.4174,-112.1196,PHOENIX-1,MAINTENANCE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,86193,2079,4.2,92.4,4,COMFORT_COMPLAINT,55,2026-03-28,2026-08-23,2024-09-26
WM-027,Jaguar I-PACE Gen4,San Francisco,CA,37.7756,-122.4027,SAN-1,MAINTENANCE,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,55739,2066,3.88,96.3,2,COMFORT_COMPLAINT,79,2026-05-04,2026-09-11,2025-01-16
WM-028,Jaguar I-PACE Gen3,Austin,TX,30.2476,-97.7721,AUSTIN-3,INSPECTION,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,33144,2022,4.56,92.7,0,SOFTWARE_BUG,86,2026-03-10,2026-07-11,2024-05-02
WM-029,Jaguar I-PACE Gen3,Seattle,WA,47.5897,-122.3003,SEATTLE-1,INSPECTION,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,65954,3067,4.05,91.3,4,NONE,,2026-03-04,2026-07-10,2025-04-20
WM-030,Jaguar I-PACE Gen2,Los Angeles,CA,34.0516,-118.2693,LOS-2,ACTIVE,weimo-av-4.2.1,LiDAR-5 + Camera-29 + Radar-6,14057,1302,4.93,96.3,3,GNSS_DROPOUT,58,2026-04-21,2026-09-07,2024-02-14
WM-031,Jaguar I-PACE Gen2,San Francisco,CA,37.7705,-122.3893,SAN-2,GROUNDED,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,31053,3593,4.9,98.6,1,NONE,,2026-06-07,2026-08-29,2024-02-02
WM-032,Jaguar I-PACE Gen4,Seattle,WA,47.6402,-122.3544,SEATTLE-4,MAINTENANCE,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,88301,3638,4.63,93.2,1,SOFTWARE_BUG,70,2026-04-17,2026-07-09,2024-07-01
WM-033,Jaguar I-PACE Gen2,Austin,TX,30.2555,-97.7778,AUSTIN-1,INSPECTION,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,18155,3222,4.13,89.6,1,ROUTE_DEVIATION,42,2026-05-04,2026-08-27,2025-05-11
WM-034,Jaguar I-PACE Gen3,San Francisco,CA,37.7629,-122.4688,SAN-1,ACTIVE,weimo-av-4.4.0-beta,LiDAR-6 + Camera-32 + Radar-8,62496,555,4.04,97.9,4,SOFTWARE_BUG,49,2026-02-18,2026-09-01,2024-12-21
WM-035,Jaguar I-PACE Gen3,Los Angeles,CA,34.0746,-118.2096,LOS-3,GROUNDED,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,71993,1198,4.11,95.7,4,NONE,,2026-06-10,2026-08-07,2025-08-08
WM-036,Jaguar I-PACE Gen2,Seattle,WA,47.6017,-122.3483,SEATTLE-3,MAINTENANCE,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,19003,2932,4.29,92.4,1,NONE,,2026-05-21,2026-06-25,2024-11-23
WM-037,Jaguar I-PACE Gen3,Los Angeles,CA,34.0062,-118.2906,LOS-1,GROUNDED,weimo-av-4.2.1,LiDAR-6 + Camera-32 + Radar-8,69644,379,4.66,97.0,6,AEB_FALSE_TRIGGER,44,2026-05-16,2026-09-10,2025-04-07
WM-038,Jaguar I-PACE Gen2,Phoenix,AZ,33.459,-112.0276,PHOENIX-3,GROUNDED,weimo-av-4.3.0,LiDAR-4 + Camera-24 + Radar-4,39266,817,4.34,96.8,2,GNSS_DROPOUT,72,2026-05-17,2026-08-17,2025-08-21
WM-039,Jaguar I-PACE Gen2,Phoenix,AZ,33.4086,-112.0468,PHOENIX-1,ACTIVE,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,48888,2658,4.58,94.8,1,SOFTWARE_BUG,50,2026-03-14,2026-07-14,2024-01-16
WM-040,Jaguar I-PACE Gen2,Seattle,WA,47.6384,-122.3715,SEATTLE-3,GROUNDED,weimo-av-4.2.1,LiDAR-4 + Camera-24 + Radar-4,53508,2482,4.29,88.1,4,COMFORT_COMPLAINT,8,2026-04-10,2026-09-09,2024-12-11
WM-041,Jaguar I-PACE Gen2,Austin,TX,30.3003,-97.7844,AUSTIN-3,INSPECTION,weimo-av-4.3.0,LiDAR-6 + Camera-32 + Radar-8,76386,2964,4.11,91.7,1,NONE,,2026-04-15,2026-08-13,2024-09-11
